id,coord,weather,base,clouds,sys,areaid,name,cod,rain,visibility,dt,wind_degree,wind_speed,temp_max,temp_min,humidity,pressure,temp
ObjectId(571d9e52d9125d030a58502f),"{""lon"":12.61,""lat"":41.8}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0056,""country"":""IT"",""sunrise"":1461557618,""sunset"":1461607315}",3178738,Ciampino,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.76
ObjectId(571d9e53d9125d030a585030),"{""lon"":12.67,""lat"":41.82}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0028,""country"":""IT"",""sunrise"":1461557602,""sunset"":1461607303}",3176589,Frascati,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e53d9125d030a585031),"{""lon"":12.7,""lat"":41.67}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0046,""country"":""IT"",""sunrise"":1461557611,""sunset"":1461607279}",3175156,Lanuvio,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.75
ObjectId(571d9e54d9125d030a585032),"{""lon"":12.68,""lat"":41.78}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0043,""country"":""IT"",""sunrise"":1461557604,""sunset"":1461607296}",3175775,Grottaferrata,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.76
ObjectId(571d9e54d9125d030a585033),"{""lon"":12.64,""lat"":41.76}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0038,""country"":""IT"",""sunrise"":1461557615,""sunset"":1461607304}",3173914,Marino,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.76
ObjectId(571d9e55d9125d030a585034),"{""lon"":12.68,""lat"":41.48}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0274,""country"":""IT"",""sunrise"":1461557636,""sunset"":1461607263}",6542044,Nettuno,200,"{""1h"":1.78}",8000,2014,320,5.1,285.15,282.04,93,1000,283.29
ObjectId(571d9e55d9125d030a585035),"{""lon"":12.78,""lat"":41.67}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0037,""country"":""IT"",""sunrise"":1461557592,""sunset"":1461607260}",3164630,Velletri,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.75
ObjectId(571d9e55d9125d030a585036),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e56d9125d030a585037),"{""lon"":11.9,""lat"":42.16}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0052,""country"":""IT"",""sunrise"":1461557749,""sunset"":1461607526}",3183265,Allumiere,200,"{""3h"":0.695}",,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e57d9125d030a585038),"{""lon"":12.09,""lat"":41.99}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5851,""message"":0.0055,""country"":""IT"",""sunrise"":1461557722,""sunset"":1461607461}",3178999,Cerveteri,200,,,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e57d9125d030a585039),"{""lon"":11.81,""lat"":42.09}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0028,""country"":""IT"",""sunrise"":1461557778,""sunset"":1461607540}",6536945,Civitavecchia,200,"{""3h"":0.695}",,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e57d9125d030a58503a),"{""lon"":12.09,""lat"":41.99}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5851,""message"":0.0055,""country"":""IT"",""sunrise"":1461557722,""sunset"":1461607461}",3178999,Cerveteri,200,,,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e58d9125d030a58503b),"{""lon"":12.07,""lat"":41.95}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5851,""message"":0.0035,""country"":""IT"",""sunrise"":1461557731,""sunset"":1461607462}",3175298,Ladispoli,200,,,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e58d9125d030a58503c),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e59d9125d030a58503d),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e59d9125d030a58503e),"{""lon"":11.87,""lat"":42.04}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0028,""country"":""IT"",""sunrise"":1461557769,""sunset"":1461607520}",6541890,Santa Marinella,200,"{""3h"":0.695}",,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e5ad9125d030a58503f),"{""lon"":11.94,""lat"":42.15}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0031,""country"":""IT"",""sunrise"":1461557740,""sunset"":1461607516}",3165593,Tolfa,200,"{""3h"":0.695}",,2014,340,2.6,283.15,283.15,93,1001,283.15
ObjectId(571d9e5ad9125d030a585040),"{""lon"":12.44,""lat"":42.16}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0071,""country"":""IT"",""sunrise"":1461557619,""sunset"":1461607397}",3174257,Magliano Romano,200,"{""1h"":1.86}",,2014,320,5.1,283.15,280.37,93,1000,282.06
ObjectId(571d9e5bd9125d030a585041),"{""lon"":12.28,""lat"":42.09}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0039,""country"":""IT"",""sunrise"":1461557665,""sunset"":1461607427}",3183061,Anguillara Sabazia,200,"{""3h"":0.44}",,2014,340,2.6,283.15,280.37,93,1001,281.94
ObjectId(571d9e5bd9125d030a585042),"{""lon"":12.18,""lat"":42.1}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0063,""country"":""IT"",""sunrise"":1461557688,""sunset"":1461607452}",3181628,Bracciano,200,"{""3h"":0.44}",,2014,340,2.6,283.15,280.37,93,1001,281.94
ObjectId(571d9e5cd9125d030a585043),"{""lon"":12.37,""lat"":42.14}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0077,""country"":""IT"",""sunrise"":1461557638,""sunset"":1461607411}",3181061,Campagnano di Roma,200,"{""1h"":1.65}",,2014,340,2.6,283.15,280.37,93,1001,282.04
ObjectId(571d9e5cd9125d030a585044),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e5dd9125d030a585045),"{""lon"":12.59,""lat"":42.16}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0123,""country"":""IT"",""sunrise"":1461557583,""sunset"":1461607361}",3177046,Fiano Romano,200,"{""1h"":1.86}",,2014,320,5.1,283.15,280.37,93,1000,282.06
ObjectId(571d9e5dd9125d030a585046),"{""lon"":12.13,""lat"":42.13}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5851,""message"":0.0091,""country"":""IT"",""sunrise"":1461557697,""sunset"":1461607468}",3174043,Manziana,200,"{""3h"":0.44}",,2014,340,2.6,283.15,280.37,93,1001,281.93
ObjectId(571d9e5ed9125d030a585047),"{""lon"":12.5,""lat"":42.15}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.003,""country"":""IT"",""sunrise"":1461557606,""sunset"":1461607381}",3172586,Morlupo,200,"{""1h"":1.86}",,2014,320,5.1,283.15,280.37,93,1000,282.06
